id,type_of_attribute,trait
452,  sTRENgths  ,honest
108, strengths,early starter
254,   StreNgtHs   ,honest
202,strengths    ,honest
253, strengths,quick learner
437,   wEAknESses    ,dishonest
495,   stREngtHs     ,quick learner
220,strengths      ,knowledgeable
236,    WeaKNeSSeS     ,late
410,sTrengtHS       ,team player
368,  sTRENgths  ,good leader
429,sTrengtHS       ,knowledgeable
492,   StreNgtHs   ,honest
370,sTrEnGthS ,honest
375,  sTRENgths  ,friendly
261,  sTRENgths  ,good leader
353,   StreNgtHs   ,prepared
364,   WEAKnessES   ,procrastinator
106,sTrengtHS       ,honest
45,  sTRENgths  ,team player
97,   wEAknESses    ,late
266, weaKnesses ,unfriendly
366, strengths,good teacher
214,   StreNgtHs   ,friendly
252, strengths,friendly
20,sTrEnGthS ,good teacher
253,strengths    ,good leader
31,strengths    ,good leader
300,   WEAKnessES   ,unavailable
179, strengths,quick learner
323,wEaKNeSSes       ,late
122,strengths      ,honest
87,       STRENGTHS  ,knowledgeable
396,sTRENgths    ,honest
365,   stREngtHs     ,quick learner
29,sTrengtHS       ,team player
80,WEAKNESSES,controlling
375,   wEAknESses    ,unavailable
63,strengths    ,good teacher
450,strengths    ,quick learner
157,       STRENGTHS  ,early starter
74,   WeAkNeSsEs ,controlling
315, strengths,team player
78,strengths    ,good teacher
200,   StreNgtHs   ,early starter
12,sTrengtHS       ,knowledgeable
444,WEAKNESSES,cutthroat
186,   StreNgtHs   ,honest
184,       STRENGTHS  ,honest
312, strengths,good leader
381,       STRENGTHS  ,early starter
19, strengths,team player
40,    weaKnEsses     ,dishonest
307,   StreNgtHs   ,early starter
370,sTrengtHS       ,knowledgeable
379,   WEAKNESSEs    ,dishonest
57,   wEAknESses    ,unfriendly
236,   stREngtHs     ,knowledgeable
148,   stREngtHs     ,good leader
174,       STRENGTHS  ,friendly
477,strengths      ,prepared
464,sTrengtHS       ,friendly
183,sTrEnGthS ,knowledgeable
181,    weaKnEsses     ,unavailable
191, strengths,knowledgeable
389,strengths      ,honest
392,   StreNgtHs   ,prepared
9, strengths,knowledgeable
263,  sTRENgths  ,prepared
98,sTrengtHS       ,team player
414,   WeAkNeSsEs ,unfriendly
439,sTrengtHS       ,prepared
178,weaknesses          ,unavailable
492,weaknesses          ,unavailable
48,sTrEnGthS ,honest
156,   StreNgtHs   ,quick learner
451,   stREngtHs     ,knowledgeable
195,weaknesses          ,dishonest
5,   wEAknESses    ,dishonest
409,  sTRENgths  ,good teacher
27,   WEAKnessES   ,dishonest
487,       STRENGTHS  ,good leader
76, strengths,early starter
39,    weaKnEsses     ,procrastinator
140,       STRENGTHS  ,knowledgeable
159,sTrEnGthS ,knowledgeable
483,sTrEnGthS ,good leader
229,sTrEnGthS ,knowledgeable
160,sTrEnGthS ,quick learner
328,WEAKNESSES,unavailable
423,strengths    ,friendly
445,wEaKNeSSes       ,unavailable
31,strengths    ,early starter
3,WEAKNESSES,dishonest
473,   WeAkNeSsEs ,procrastinator
225,sTrengtHS       ,honest
446,   stREngtHs     ,knowledgeable
273,  sTRENgths  ,quick learner
98,strengths      ,good leader
118,wEaKNeSSes       ,unavailable
96,   wEAknESses    ,unavailable
58,strengths    ,team player
499,strengths      ,knowledgeable
38, strengths,friendly
371,wEaKNeSSes       ,cutthroat
465,wEaKNeSSes       ,unresponsive
95,sTrEnGthS ,good leader
464,strengths    ,prepared
358,   stREngtHs     ,knowledgeable
36,       STRENGTHS  ,team player
76, weaKnesses ,procrastinator
283,       STRENGTHS  ,friendly
253,sTRENgths    ,team player
243,   StreNgtHs   ,team player
77,       STRENGTHS  ,quick learner
103,sTrengtHS       ,knowledgeable
303,   wEAknESses    ,unavailable
94, strengths,prepared
238,sTrengtHS       ,early starter
118,       STRENGTHS  ,good teacher
394,wEaKNeSSes       ,unfriendly
265,strengths    ,good teacher
453,sTrengtHS       ,prepared
258,weaknesses          ,unprepared
226,sTrEnGthS ,knowledgeable
289,sTRENgths    ,early starter
250,sTRENgths    ,knowledgeable
259,   stREngtHs     ,honest
198,strengths    ,prepared
177,    weaKnEsses     ,unresponsive
150,       STRENGTHS  ,early starter
342,   wEAknESses    ,late
478,    WeaKNeSSeS     ,unprepared
156,   stREngtHs     ,friendly
73,   StreNgtHs   ,good teacher
472,  sTRENgths  ,good leader
190,   WeAkNeSsEs ,dishonest
137,strengths      ,knowledgeable
338,sTrengtHS       ,good leader
341,strengths    ,honest
127,strengths    ,good teacher
386,sTrEnGthS ,friendly
355,       STRENGTHS  ,good teacher
271,sTrEnGthS ,honest
88,sTrengtHS       ,friendly
366,   StreNgtHs   ,early starter
60,sTrEnGthS ,friendly
305,    WeaKNeSSeS     ,unfriendly
138,sTrEnGthS ,quick learner
361,wEaKNeSSes       ,late
180,   WEAKNESSEs    ,dishonest
288,sTrEnGthS ,knowledgeable
447,   wEAknESses    ,cutthroat
39,sTrengtHS       ,team player
60,sTrEnGthS ,team player
246,sTrEnGthS ,good leader
254,weaknesses          ,cutthroat
327,   stREngtHs     ,good leader
134,sTrengtHS       ,quick learner
445,       STRENGTHS  ,team player
299,  sTRENgths  ,team player
310,sTRENgths    ,team player
145,sTrEnGthS ,honest
255,sTRENgths    ,prepared
6,sTrEnGthS ,friendly
322,   WeAkNeSsEs ,cutthroat
376,WEAKNESSES,unresponsive
444,sTrengtHS       ,honest
334,   WeAkNeSsEs ,unprepared
425,strengths      ,quick learner
107,sTrengtHS       ,quick learner
140,strengths    ,good leader
491,   stREngtHs     ,good teacher
196,       STRENGTHS  ,good teacher
459,strengths      ,friendly
52,sTrengtHS       ,early starter
366, weaKnesses ,cutthroat
195, strengths,knowledgeable
438,   StreNgtHs   ,team player
227,strengths      ,good teacher
83,       STRENGTHS  ,good teacher
304,   StreNgtHs   ,prepared
434,sTrEnGthS ,early starter
112,   StreNgtHs   ,team player
424,   stREngtHs     ,friendly
169,  sTRENgths  ,team player
65,strengths      ,knowledgeable
27,strengths      ,knowledgeable
22,  sTRENgths  ,honest
150,strengths    ,knowledgeable
329,sTrengtHS       ,good teacher
84,sTRENgths    ,honest
225,       STRENGTHS  ,friendly
152,   StreNgtHs   ,good teacher
122,sTrengtHS       ,team player
128,WEAKNESSES,dishonest
82,strengths    ,knowledgeable
182,       STRENGTHS  ,early starter
318,       STRENGTHS  ,team player
449,sTRENgths    ,early starter
430,wEaKNeSSes       ,procrastinator
415,   WEAKNESSEs    ,cutthroat
495,   WEAKnessES   ,unavailable
262,strengths      ,good teacher
409,strengths      ,early starter
398,sTrEnGthS ,quick learner
88,  sTRENgths  ,prepared
485,   stREngtHs     ,good leader
66,    WeaKNeSSeS     ,procrastinator
101,   wEAknESses    ,controlling
98,   stREngtHs     ,quick learner
320,strengths      ,prepared
296,   stREngtHs     ,early starter
447,   StreNgtHs   ,good teacher
254,strengths    ,team player
120,   WEAKNESSEs    ,unresponsive
132,strengths      ,friendly
489,WEAKNESSES,unavailable
461, weaKnesses ,unavailable
102,sTrengtHS       ,knowledgeable
183,strengths    ,good teacher
218, strengths,early starter
484,sTrengtHS       ,good teacher
473,sTRENgths    ,good teacher
56,wEaKNeSSes       ,procrastinator
66,sTrengtHS       ,knowledgeable
444, strengths,early starter
24, weaKnesses ,unavailable
35,  sTRENgths  ,good teacher
233,strengths      ,quick learner
301,       STRENGTHS  ,honest
332,strengths      ,good leader
296,       STRENGTHS  ,quick learner
119,       STRENGTHS  ,good teacher
423,weaknesses          ,cutthroat
364,   stREngtHs     ,quick learner
110,sTrengtHS       ,early starter
252,   WEAKNESSEs    ,procrastinator
46,   stREngtHs     ,early starter
314, weaKnesses ,procrastinator
214,  sTRENgths  ,knowledgeable
475,   WEAKNESSEs    ,unavailable
22,    WeaKNeSSeS     ,controlling
79,sTrengtHS       ,team player
16,   StreNgtHs   ,friendly
479,   StreNgtHs   ,early starter
125,sTRENgths    ,early starter
41,   wEAknESses    ,dishonest
465,sTrEnGthS ,good leader
76,strengths      ,good teacher
220,   WEAKnessES   ,late
472, weaKnesses ,procrastinator
379,sTrEnGthS ,knowledgeable
414,   wEAknESses    ,unresponsive
123,       STRENGTHS  ,good leader
9,sTRENgths    ,early starter
267,   stREngtHs     ,good leader
32,   StreNgtHs   ,team player
76,sTRENgths    ,good leader
167,   stREngtHs     ,friendly
154,   WEAKnessES   ,cutthroat
356,sTrengtHS       ,knowledgeable
244,sTrEnGthS ,early starter
251,sTrEnGthS ,prepared
231,weaknesses          ,unresponsive
376, weaKnesses ,cutthroat
358,  sTRENgths  ,good teacher
398,sTRENgths    ,early starter
68,    WeaKNeSSeS     ,cutthroat
301,sTrEnGthS ,good leader
300,strengths    ,quick learner
466,  sTRENgths  ,honest
280,  sTRENgths  ,good leader
424,   StreNgtHs   ,honest
376,strengths      ,early starter
125,   WeAkNeSsEs ,unresponsive
61, strengths,honest
475,sTrEnGthS ,good leader
213,   WeAkNeSsEs ,unfriendly
273,       STRENGTHS  ,prepared
100,sTrengtHS       ,honest
332,   StreNgtHs   ,prepared
96,   StreNgtHs   ,prepared
101,       STRENGTHS  ,friendly
488,strengths      ,early starter
88, weaKnesses ,unresponsive
334,sTrengtHS       ,prepared
199,   StreNgtHs   ,friendly
482, weaKnesses ,controlling
463,    weaKnEsses     ,late
216,strengths      ,honest
28,sTrEnGthS ,good teacher
165,strengths      ,quick learner
203,    WeaKNeSSeS     ,late
264,sTrEnGthS ,good leader
272,   WEAKNESSEs    ,unavailable
412,sTRENgths    ,team player
136,   stREngtHs     ,knowledgeable
66,       STRENGTHS  ,friendly
80,  sTRENgths  ,team player
257,sTrEnGthS ,good leader
309,strengths      ,friendly
95,sTrengtHS       ,knowledgeable
285,sTRENgths    ,quick learner
126,  sTRENgths  ,knowledgeable
132,wEaKNeSSes       ,late
390,strengths      ,early starter
204,sTrengtHS       ,honest
476, weaKnesses ,unfriendly
478, strengths,team player
91,strengths      ,team player
444,strengths    ,quick learner
230,   WEAKNESSEs    ,procrastinator
94, strengths,friendly
299,sTrengtHS       ,good teacher
85,   StreNgtHs   ,knowledgeable
472,strengths    ,knowledgeable
262,   WEAKNESSEs    ,dishonest
138,sTrengtHS       ,good leader
39,    WeaKNeSSeS     ,cutthroat
433,strengths    ,prepared
71,wEaKNeSSes       ,controlling
459,strengths      ,early starter
59, strengths,knowledgeable
454,  sTRENgths  ,good teacher
405,   WEAKnessES   ,unfriendly
445,strengths      ,early starter
215,sTrengtHS       ,quick learner
278,    WeaKNeSSeS     ,unfriendly
172,strengths      ,honest
441,   stREngtHs     ,early starter
263,sTrengtHS       ,honest
401,WEAKNESSES,unavailable
58,   StreNgtHs   ,honest
450,   wEAknESses    ,unfriendly
115,   WEAKnessES   ,unprepared
262,sTrEnGthS ,team player
405,sTRENgths    ,good leader
186,   stREngtHs     ,team player
397,   StreNgtHs   ,knowledgeable
221, strengths,quick learner
165,    WeaKNeSSeS     ,unavailable
177,   StreNgtHs   ,early starter
497, weaKnesses ,unprepared
283,sTrEnGthS ,good leader
39,strengths    ,good teacher
58,strengths    ,good teacher
202,sTrengtHS       ,knowledgeable
99, weaKnesses ,late
106,sTRENgths    ,quick learner
467,   StreNgtHs   ,good leader
159,sTrEnGthS ,quick learner
430,sTrengtHS       ,quick learner
13,   WEAKNESSEs    ,late
259, weaKnesses ,unfriendly
296,sTrEnGthS ,good leader
281,   wEAknESses    ,unfriendly
195,strengths    ,good teacher
150,   WEAKNESSEs    ,procrastinator
450, strengths,good teacher
55,   stREngtHs     ,prepared
290,WEAKNESSES,procrastinator
234,   stREngtHs     ,prepared
468,strengths    ,early starter
329,   StreNgtHs   ,team player
151,   WEAKNESSEs    ,unprepared
161,strengths      ,early starter
147,   WEAKnessES   ,dishonest
196,strengths    ,prepared
352,    WeaKNeSSeS     ,unavailable
141,       STRENGTHS  ,prepared
413,sTrengtHS       ,prepared
57,   StreNgtHs   ,prepared
119,   StreNgtHs   ,prepared
47,    WeaKNeSSeS     ,dishonest
72,   stREngtHs     ,friendly
353,wEaKNeSSes       ,dishonest
70,sTrengtHS       ,good leader
92,  sTRENgths  ,friendly
191,   WEAKNESSEs    ,unavailable
47,    WeaKNeSSeS     ,procrastinator
359,strengths    ,good teacher
232,   WEAKNESSEs    ,unresponsive
490,sTRENgths    ,prepared
217,   stREngtHs     ,friendly
180,   WEAKnessES   ,unavailable
292, strengths,good leader
147,sTrengtHS       ,friendly
467,sTRENgths    ,good teacher
218,strengths      ,team player
469,   stREngtHs     ,good teacher
232,  sTRENgths  ,friendly
262,sTrEnGthS ,prepared
434,    weaKnEsses     ,procrastinator
448,   WeAkNeSsEs ,unresponsive
348,sTRENgths    ,good teacher
63,   WeAkNeSsEs ,unavailable
370,   WEAKNESSEs    ,procrastinator
431,    WeaKNeSSeS     ,unresponsive
121, strengths,knowledgeable
499,    WeaKNeSSeS     ,unresponsive
429,sTrEnGthS ,early starter
146,   StreNgtHs   ,knowledgeable
208,       STRENGTHS  ,prepared
98,strengths    ,friendly
30,       STRENGTHS  ,friendly
6,weaknesses          ,unprepared
148,sTrEnGthS ,honest
139,   stREngtHs     ,friendly
135,sTrengtHS       ,good teacher
185,strengths    ,good leader
252,sTrengtHS       ,prepared
207,strengths    ,friendly
159,  sTRENgths  ,early starter
428,strengths    ,knowledgeable
285, strengths,knowledgeable
419,strengths    ,knowledgeable
123,   stREngtHs     ,team player
440,   WEAKNESSEs    ,late
472,sTrengtHS       ,prepared
195, strengths,friendly
242,   WEAKNESSEs    ,unfriendly
14,strengths    ,early starter
352,strengths    ,prepared
331,   wEAknESses    ,unfriendly
285,    WeaKNeSSeS     ,procrastinator
147,sTrengtHS       ,early starter
100,    weaKnEsses     ,dishonest
58,  sTRENgths  ,early starter
196,sTrEnGthS ,early starter
363,sTrengtHS       ,quick learner
181,strengths    ,team player
278,sTrengtHS       ,good leader
361,strengths    ,honest
289,WEAKNESSES,procrastinator
498,strengths      ,friendly
202,       STRENGTHS  ,good leader
10,  sTRENgths  ,friendly
315,   wEAknESses    ,unfriendly
435,    WeaKNeSSeS     ,cutthroat
449,  sTRENgths  ,good teacher
452,strengths      ,good teacher
204,sTRENgths    ,friendly
115,  sTRENgths  ,quick learner
165,strengths    ,early starter
484,  sTRENgths  ,good leader
255,WEAKNESSES,cutthroat
387,   StreNgtHs   ,honest
86,sTrengtHS       ,good leader
270, strengths,early starter
189, strengths,early starter
222,   stREngtHs     ,friendly
470,   stREngtHs     ,honest
1,sTRENgths    ,friendly
351,   stREngtHs     ,good leader
265,strengths      ,early starter
215, strengths,knowledgeable
319,  sTRENgths  ,quick learner
496,strengths      ,good leader
388,  sTRENgths  ,good leader
402,  sTRENgths  ,early starter
285,   stREngtHs     ,good leader
414,strengths      ,prepared
364,strengths    ,team player
206,sTrEnGthS ,early starter
86,   WEAKnessES   ,unavailable
163,sTRENgths    ,good teacher
482,   StreNgtHs   ,friendly
185,weaknesses          ,unresponsive
386,   stREngtHs     ,quick learner
330,sTrengtHS       ,good leader
149,strengths    ,knowledgeable
313,       STRENGTHS  ,team player
382,   stREngtHs     ,honest
384,   WEAKNESSEs    ,unprepared
62,   WEAKnessES   ,unfriendly
287,strengths    ,friendly
408,  sTRENgths  ,early starter
434,sTRENgths    ,knowledgeable
260, weaKnesses ,unresponsive
14,sTrengtHS       ,quick learner
308,  sTRENgths  ,honest
437,strengths      ,friendly
126,   WEAKnessES   ,unavailable
283,   StreNgtHs   ,knowledgeable
126,sTRENgths    ,prepared
481,sTrEnGthS ,knowledgeable
168,   stREngtHs     ,quick learner
162,strengths      ,honest
470,wEaKNeSSes       ,unprepared
159,   wEAknESses    ,late
69,sTRENgths    ,knowledgeable
105,  sTRENgths  ,team player
327,  sTRENgths  ,team player
30,   WeAkNeSsEs ,late
75,sTrEnGthS ,early starter
148,   WEAKNESSEs    ,procrastinator
68,strengths    ,quick learner
20,       STRENGTHS  ,knowledgeable
283,   StreNgtHs   ,good teacher
325,sTrengtHS       ,good leader
209,strengths    ,knowledgeable
479,   wEAknESses    ,dishonest
394,   StreNgtHs   ,honest
458, strengths,friendly
196,sTrEnGthS ,quick learner
155, strengths,quick learner
303,sTRENgths    ,early starter
160,strengths      ,honest
49,strengths      ,quick learner
33,strengths      ,friendly
49,sTRENgths    ,team player
350,       STRENGTHS  ,prepared
245, strengths,knowledgeable
65,   WEAKnessES   ,procrastinator
122,weaknesses          ,unfriendly
302, strengths,good leader
165,strengths    ,honest
10,strengths    ,early starter
23,wEaKNeSSes       ,late
475, strengths,honest
358,   wEAknESses    ,unresponsive
172,  sTRENgths  ,knowledgeable
212,strengths      ,knowledgeable
313,strengths    ,honest
210,strengths      ,prepared
110,sTrEnGthS ,honest
379,weaknesses          ,procrastinator
36,   stREngtHs     ,friendly
341, strengths,team player
128,sTrengtHS       ,good leader
143,   stREngtHs     ,early starter
28,weaknesses          ,cutthroat
168,weaknesses          ,cutthroat
85,sTrengtHS       ,team player
242,   stREngtHs     ,early starter
382,   stREngtHs     ,team player
51,       STRENGTHS  ,good leader
137,WEAKNESSES,unfriendly
139,weaknesses          ,unfriendly
135,WEAKNESSES,dishonest
490,    WeaKNeSSeS     ,dishonest
447,sTrEnGthS ,quick learner
361,strengths    ,good teacher
488,sTrengtHS       ,friendly
347, strengths,team player
112,sTrengtHS       ,good leader
95,sTRENgths    ,quick learner
190,sTrengtHS       ,early starter
199, strengths,honest
37,    weaKnEsses     ,cutthroat
188,strengths    ,team player
176,wEaKNeSSes       ,unfriendly
376,   stREngtHs     ,honest
334,strengths      ,friendly
367,    WeaKNeSSeS     ,procrastinator
279,sTrengtHS       ,good teacher
408,sTrengtHS       ,team player
124,strengths    ,honest
113,sTrengtHS       ,early starter
60,       STRENGTHS  ,good leader
462,sTrEnGthS ,good leader
42,sTRENgths    ,good teacher
103, strengths,early starter
51,   WeAkNeSsEs ,late
16,   WeAkNeSsEs ,unfriendly
469,       STRENGTHS  ,good leader
441,sTRENgths    ,good leader
171,sTrEnGthS ,team player
98,   wEAknESses    ,dishonest
173,sTrEnGthS ,early starter
275,WEAKNESSES,dishonest
453,  sTRENgths  ,early starter
344,wEaKNeSSes       ,procrastinator
356,sTrEnGthS ,honest
180,       STRENGTHS  ,quick learner
409,   WEAKnessES   ,unfriendly
36, weaKnesses ,unfriendly
294, weaKnesses ,unavailable
272,  sTRENgths  ,honest
81,   WeAkNeSsEs ,dishonest
397,   stREngtHs     ,early starter
199,sTrEnGthS ,early starter
376,sTrengtHS       ,quick learner
145,   stREngtHs     ,knowledgeable
222,   stREngtHs     ,prepared
375,  sTRENgths  ,early starter
154,strengths      ,team player
398,   WEAKnessES   ,cutthroat
397,       STRENGTHS  ,team player
497,strengths    ,friendly
357,sTRENgths    ,good leader
220, strengths,team player
354,   StreNgtHs   ,friendly
374,       STRENGTHS  ,team player
116,   StreNgtHs   ,friendly
426,   WeAkNeSsEs ,unprepared
496,   WEAKNESSEs    ,unavailable
237, weaKnesses ,late
255,WEAKNESSES,unfriendly
498,strengths      ,prepared
332,sTRENgths    ,good teacher
151,   WEAKNESSEs    ,late
177,WEAKNESSES,cutthroat
54,  sTRENgths  ,quick learner
35,strengths    ,knowledgeable
494,wEaKNeSSes       ,dishonest
20,   stREngtHs     ,good leader
496,   wEAknESses    ,unfriendly
442,   wEAknESses    ,unavailable
303,   StreNgtHs   ,quick learner
211, weaKnesses ,procrastinator
145,  sTRENgths  ,early starter
445,   stREngtHs     ,good leader
331,sTRENgths    ,honest
323, strengths,early starter
351,   WEAKNESSEs    ,late
138, weaKnesses ,late
61,sTrEnGthS ,good teacher
314,sTrEnGthS ,knowledgeable
128,strengths    ,early starter
301, strengths,early starter
299,strengths    ,friendly
246,  sTRENgths  ,team player
436,sTrengtHS       ,quick learner
438,sTRENgths    ,honest
105,sTRENgths    ,friendly
23,       STRENGTHS  ,friendly
304,    weaKnEsses     ,unprepared
283,sTrEnGthS ,prepared
282,strengths      ,team player
193,   stREngtHs     ,good leader
287,strengths    ,prepared
249,   stREngtHs     ,quick learner
126,strengths      ,good teacher
451,   WEAKnessES   ,dishonest
211,       STRENGTHS  ,team player
490,sTrEnGthS ,team player
464, strengths,team player
392,   WEAKNESSEs    ,cutthroat
434,strengths    ,prepared
413,   StreNgtHs   ,team player
104,sTrEnGthS ,honest
152,strengths    ,good leader
211,strengths    ,friendly
187,   StreNgtHs   ,early starter
14,weaknesses          ,cutthroat
46,WEAKNESSES,procrastinator
461,strengths      ,early starter
463,weaknesses          ,procrastinator
128,   WEAKNESSEs    ,procrastinator
287,strengths    ,good leader
466,strengths      ,quick learner
255,   stREngtHs     ,good teacher
417,   stREngtHs     ,friendly
482,strengths    ,honest
173,   StreNgtHs   ,team player
324,sTrengtHS       ,early starter
181,    WeaKNeSSeS     ,unfriendly
40,   WeAkNeSsEs ,unavailable
346,sTrEnGthS ,good leader
369,       STRENGTHS  ,good teacher
125,strengths      ,good leader
433, strengths,team player
159,sTRENgths    ,honest
485,   WeAkNeSsEs ,unfriendly
40,sTRENgths    ,knowledgeable
173,  sTRENgths  ,good leader
407,  sTRENgths  ,friendly
188,    WeaKNeSSeS     ,unresponsive
109,strengths    ,quick learner
103,  sTRENgths  ,team player
321,   StreNgtHs   ,honest
208,WEAKNESSES,unfriendly
53,sTrEnGthS ,knowledgeable
212, strengths,good leader
443,sTRENgths    ,knowledgeable
142, strengths,good leader
164, strengths,early starter
345,       STRENGTHS  ,prepared
65,sTRENgths    ,good teacher
236,strengths      ,friendly
280,sTRENgths    ,team player
335,    weaKnEsses     ,controlling
355,sTRENgths    ,good leader
30,strengths    ,team player
454,   stREngtHs     ,quick learner
297,sTrEnGthS ,good leader
121,sTRENgths    ,friendly
121, strengths,good leader
354,sTRENgths    ,knowledgeable
220,   wEAknESses    ,unfriendly
227,weaknesses          ,unavailable
293,    weaKnEsses     ,dishonest
151,sTRENgths    ,early starter
161,WEAKNESSES,unprepared
171,    WeaKNeSSeS     ,unavailable
240,  sTRENgths  ,honest
387,sTRENgths    ,knowledgeable
157,   stREngtHs     ,honest
133,   stREngtHs     ,good teacher
24,       STRENGTHS  ,prepared
166,   StreNgtHs   ,friendly
282,sTrEnGthS ,knowledgeable
452,   stREngtHs     ,friendly
141,strengths      ,honest
300,sTrengtHS       ,good teacher
490,sTrengtHS       ,friendly
480,       STRENGTHS  ,early starter
173,   WEAKnessES   ,cutthroat
477,   stREngtHs     ,knowledgeable
328,sTrengtHS       ,knowledgeable
284, strengths,honest
468,    WeaKNeSSeS     ,unavailable
179,sTRENgths    ,honest
172,sTrEnGthS ,good leader
328,       STRENGTHS  ,good teacher
60,sTrengtHS       ,good teacher
107,   wEAknESses    ,cutthroat
245, strengths,prepared
256,   StreNgtHs   ,friendly
470,  sTRENgths  ,team player
347, weaKnesses ,unprepared
408,   StreNgtHs   ,good teacher
2,sTrEnGthS ,early starter
422, strengths,good teacher
393,   stREngtHs     ,good leader
319,   wEAknESses    ,late
178,weaknesses          ,unfriendly
455,   StreNgtHs   ,good teacher
101, strengths,early starter
491, strengths,good leader
358,    WeaKNeSSeS     ,controlling
488,   stREngtHs     ,honest
304,sTrengtHS       ,good leader
333,strengths      ,early starter
12,    weaKnEsses     ,unfriendly
321,  sTRENgths  ,knowledgeable
71,strengths      ,team player
474,   StreNgtHs   ,good leader
386,       STRENGTHS  ,team player
216,       STRENGTHS  ,quick learner
482,weaknesses          ,unprepared
78, strengths,early starter
226,   stREngtHs     ,honest
345,   stREngtHs     ,good leader
194,  sTRENgths  ,team player
221,   StreNgtHs   ,good leader
338,   stREngtHs     ,team player
83,    WeaKNeSSeS     ,procrastinator
169, strengths,quick learner
57,   stREngtHs     ,early starter
350,strengths      ,early starter
392,    WeaKNeSSeS     ,late
286,sTrEnGthS ,good leader
415,       STRENGTHS  ,early starter
192,   WEAKNESSEs    ,unresponsive
74,sTrengtHS       ,knowledgeable
392,strengths      ,early starter
260,sTrengtHS       ,good leader
338,strengths      ,early starter
297,   WEAKNESSEs    ,unprepared
125,wEaKNeSSes       ,procrastinator
275,strengths    ,quick learner
270,strengths      ,quick learner
29,sTrengtHS       ,friendly
420,   StreNgtHs   ,prepared
305,  sTRENgths  ,friendly
384, strengths,quick learner
51,   stREngtHs     ,prepared
323,strengths    ,knowledgeable
61, weaKnesses ,unprepared
290,  sTRENgths  ,good teacher
65,sTrengtHS       ,early starter
125,   stREngtHs     ,prepared
453,       STRENGTHS  ,honest
32,WEAKNESSES,unfriendly
193,wEaKNeSSes       ,cutthroat
320,sTRENgths    ,quick learner
290, weaKnesses ,unfriendly
177,   StreNgtHs   ,honest
457,   stREngtHs     ,good teacher
9,wEaKNeSSes       ,dishonest
410, weaKnesses ,late
273,sTRENgths    ,good teacher
158,sTRENgths    ,good teacher
240,    WeaKNeSSeS     ,unprepared
97,sTRENgths    ,team player
357,   WeAkNeSsEs ,procrastinator
263,       STRENGTHS  ,early starter
100,sTrengtHS       ,good teacher
157,   stREngtHs     ,good leader
427,    weaKnEsses     ,controlling
178,sTrengtHS       ,quick learner
72,sTrEnGthS ,prepared
62,   WEAKnessES   ,dishonest
398,strengths    ,knowledgeable
210,sTrengtHS       ,team player
463,strengths    ,honest
491,sTrEnGthS ,honest
438,   stREngtHs     ,good teacher
227, strengths,honest
292,   WeAkNeSsEs ,cutthroat
1,sTRENgths    ,early starter
74,sTrEnGthS ,friendly
63, strengths,early starter
407,    weaKnEsses     ,cutthroat
167,sTrengtHS       ,early starter
197,  sTRENgths  ,knowledgeable
122,   stREngtHs     ,good leader
400,       STRENGTHS  ,friendly
15,   stREngtHs     ,early starter
212,  sTRENgths  ,quick learner
64,  sTRENgths  ,knowledgeable
279,  sTRENgths  ,team player
245,sTrengtHS       ,honest
256, strengths,prepared
471,   stREngtHs     ,quick learner
290,   StreNgtHs   ,prepared
18, strengths,honest
389,   wEAknESses    ,procrastinator
84,   stREngtHs     ,friendly
307,   WEAKnessES   ,unprepared
313,       STRENGTHS  ,early starter
213,sTrEnGthS ,good teacher
359,   WEAKnessES   ,controlling
231,   wEAknESses    ,unprepared
398,    WeaKNeSSeS     ,unfriendly
197,WEAKNESSES,late
114,   WEAKnessES   ,cutthroat
241,   WEAKNESSEs    ,unfriendly
496,strengths    ,quick learner
243,   stREngtHs     ,friendly
447,    weaKnEsses     ,unavailable
350,sTrengtHS       ,honest
64,sTrEnGthS ,prepared
229,sTRENgths    ,good teacher
164,weaknesses          ,cutthroat
369,   stREngtHs     ,good leader
138,strengths    ,early starter
283,   wEAknESses    ,procrastinator
473,   stREngtHs     ,prepared
71,sTrengtHS       ,quick learner
359,  sTRENgths  ,honest
381,strengths      ,team player
411,weaknesses          ,late
436,       STRENGTHS  ,honest
421,WEAKNESSES,unavailable
143,strengths      ,team player
126,   WeAkNeSsEs ,procrastinator
317,    weaKnEsses     ,unprepared
222,   stREngtHs     ,good teacher
393,    WeaKNeSSeS     ,unresponsive
273,       STRENGTHS  ,team player
19,   StreNgtHs   ,quick learner
189,       STRENGTHS  ,quick learner
217,sTRENgths    ,early starter
282,    weaKnEsses     ,unfriendly
416,   StreNgtHs   ,good leader
62,strengths    ,early starter
176,sTrEnGthS ,quick learner
17, strengths,knowledgeable
55,  sTRENgths  ,team player
297,   stREngtHs     ,knowledgeable
265,   WeAkNeSsEs ,unprepared
231,   stREngtHs     ,friendly
158,   stREngtHs     ,team player
226,sTrengtHS       ,early starter
474,strengths    ,knowledgeable
77,sTrEnGthS ,good teacher
109, strengths,early starter
206,strengths      ,knowledgeable
250,WEAKNESSES,procrastinator
154,   StreNgtHs   ,knowledgeable
426,sTrEnGthS ,prepared
305, strengths,prepared
114,sTrengtHS       ,good teacher
224, strengths,early starter
288,   StreNgtHs   ,friendly
153,   stREngtHs     ,early starter
411,sTrengtHS       ,quick learner
343,       STRENGTHS  ,honest
